age,income,account_balance,visits_last_month,avg_session_minutes,gender,product_type,purchased
25.0,70070.16,11934.99,3.0,6.74,Female,Basic,1
20.0,57000.88,22290.09,3.0,12.55,Female,Basic,1
45.0,50457.09,12118.29,5.0,13.92,Female,Plus,0
20.0,87068.75,7594.02,2.0,10.16,Female,Basic,0
26.0,59636.61,26554.39,1.0,12.6,Female,Basic,0
49.0,99966.03,20328.03,2.0,0.5,Female,Premium,1
78.0,54403.21,16754.03,4.0,20.29,Female,Basic,0
46.0,77730.04,22413.67,8.0,5.43,Female,Basic,1
68.0,65454.34,23500.27,5.0,0.5,Male,Plus,1
74.0,54919.56,17728.29,2.0,6.35,Female,Plus,0
69.0,81753.5,0.0,2.0,7.1,Male,Premium,0
57.0,66900.35,9595.28,2.0,15.38,Female,Plus,0
45.0,82064.21,11347.37,5.0,6.63,Female,Basic,0
49.0,69054.17,7126.39,4.0,13.82,Other,Basic,0
34.0,48283.67,16589.42,2.0,6.35,Female,Plus,0
48.0,67958.62,24537.62,1.0,25.35,Female,Plus,1
41.0,71039.1,11120.76,1.0,15.38,Female,Basic,0
33.0,89169.26,5921.34,3.0,23.85,Female,Basic,1
79.0,51874.62,31224.28,1.0,6.02,Female,Basic,0
18.0,69213.4,11388.5,5.0,16.09,Male,Basic,0
24.0,35562.43,5136.28,5.0,6.37,Male,Basic,1
29.0,83029.86,16901.42,4.0,15.58,Female,Basic,1
78.0,48370.34,18405.46,1.0,16.17,Female,Plus,0
60.0,33872.81,9359.6,3.0,2.54,Female,Basic,0
72.0,68815.66,21323.63,5.0,5.28,Female,Premium,0
30.0,92113.7,11101.44,1.0,5.1,Female,Plus,1
62.0,39511.06,7616.39,2.0,3.08,Female,Basic,0
40.0,48239.29,16428.73,3.0,7.71,Female,Premium,0
48.0,55134.5,21166.15,7.0,6.34,Female,Plus,1
18.0,47410.07,9929.19,2.0,3.42,Male,Premium,0
56.0,77588.56,17645.0,1.0,12.68,Female,Basic,1
69.0,53852.65,14252.07,0.0,15.36,Female,Premium,0
59.0,55569.71,37595.47,7.0,4.2,Female,Plus,1
27.0,81666.11,9331.52,2.0,8.75,Male,Basic,0
51.0,54889.71,26073.37,2.0,12.13,Male,Basic,0
34.0,78655.6,14581.23,2.0,10.69,Female,Basic,0
77.0,50572.3,13985.9,2.0,7.88,Male,Basic,0
72.0,45757.23,20773.32,4.0,16.94,Female,Basic,0
29.0,33291.01,22151.92,3.0,17.16,Male,Basic,0
49.0,107224.06,25136.13,4.0,16.16,Female,Plus,1
76.0,63594.82,17629.21,0.0,10.83,Male,Basic,1
70.0,74878.67,10196.83,5.0,23.99,Female,Basic,0
61.0,69379.01,10698.83,7.0,22.52,Male,Basic,1
57.0,73199.24,19077.23,4.0,9.66,Male,Basic,0
20.0,70993.73,19647.2,0.0,11.35,Female,Basic,1
63.0,108164.34,26184.41,4.0,19.2,Female,Basic,1
47.0,49221.47,18347.44,4.0,7.27,Male,Plus,0
23.0,38850.76,23481.35,7.0,14.46,Male,Basic,1
33.0,49760.81,27134.17,2.0,12.34,Female,Premium,0
51.0,43305.82,16318.4,5.0,7.85,Male,Premium,1
63.0,84939.24,3115.53,2.0,10.67,Male,Plus,1
49.0,86407.56,5565.78,2.0,2.63,Female,Basic,1
56.0,50773.69,3497.58,2.0,8.8,Male,Basic,1
72.0,42191.28,27732.72,2.0,0.5,Male,Plus,0
60.0,62904.07,8220.73,5.0,25.74,Female,Premium,1
40.0,97822.48,24854.73,3.0,21.09,Male,Premium,1
57.0,15000.0,19685.86,4.0,19.43,Other,Plus,0
55.0,80532.54,28722.15,8.0,13.87,Female,Premium,1
24.0,48484.9,23024.75,4.0,18.04,Male,Basic,0
21.0,90807.34,14181.04,2.0,19.68,Female,Plus,0
58.0,48441.52,13399.76,3.0,18.15,Male,Basic,1
42.0,64291.68,15681.34,3.0,17.56,Female,Basic,1
55.0,39874.42,16402.09,5.0,6.57,Male,Plus,0
38.0,50454.84,10754.05,3.0,14.62,Male,Plus,1
31.0,97716.78,14738.97,5.0,8.83,Female,Premium,0
27.0,86411.57,27874.56,2.0,4.96,Male,Basic,1
41.0,61966.64,1382.89,0.0,,Female,Basic,0
68.0,52596.55,17067.91,4.0,14.6,Male,Basic,1
42.0,32123.86,7744.38,3.0,18.35,Female,Basic,0
41.0,62126.87,16496.3,3.0,3.83,Male,Basic,1
53.0,69381.93,21718.85,7.0,22.5,Female,Basic,0
78.0,68318.91,14539.12,3.0,20.84,Female,Premium,0
42.0,68124.16,21183.9,6.0,9.74,Female,Basic,1
54.0,47563.81,2281.28,3.0,9.25,Male,Basic,0
45.0,68674.52,23855.91,2.0,11.59,Male,Basic,1
55.0,69226.53,10174.97,4.0,17.91,Female,Basic,0
45.0,95811.24,19979.26,4.0,9.72,Female,Basic,1
57.0,107334.67,16459.58,2.0,5.38,Male,Plus,1
51.0,67260.22,0.0,1.0,14.08,Female,Basic,1
59.0,54673.88,8951.49,7.0,0.5,Female,Basic,0
77.0,68700.36,16764.07,3.0,12.86,Female,Plus,0
27.0,57847.57,27431.81,3.0,18.96,Male,Basic,1
52.0,55151.32,17298.15,4.0,13.84,Male,Premium,0
45.0,68827.0,17061.57,5.0,16.69,Female,Basic,1
40.0,49133.91,3698.53,3.0,14.97,Female,Basic,1
32.0,82122.14,26449.17,8.0,16.37,Male,Premium,0
21.0,67921.69,29456.62,2.0,12.87,Male,Basic,1
42.0,75000.17,15228.6,3.0,7.03,Male,Basic,0
69.0,66341.2,13241.94,1.0,10.65,Female,Basic,0
23.0,55454.91,2047.6,0.0,11.56,Female,Plus,1
43.0,51040.81,22066.57,5.0,19.55,Male,Basic,0
78.0,65254.48,36618.23,2.0,21.76,Female,Basic,0
76.0,59024.79,20736.9,4.0,14.52,Female,Plus,1
31.0,74678.03,25109.63,2.0,7.48,Female,Plus,1
18.0,69911.37,19336.7,4.0,7.62,Male,Basic,1
59.0,42753.87,7119.87,2.0,10.87,Male,Plus,0
18.0,71342.43,25693.38,2.0,20.33,Male,Premium,1
36.0,43142.79,5123.4,0.0,14.01,Female,Plus,0
48.0,57670.45,13314.68,3.0,11.67,Male,Basic,1
72.0,64112.93,17230.81,2.0,7.41,Male,Plus,1
23.0,28494.53,22063.28,4.0,17.29,Male,Plus,0
,71830.15,18327.89,1.0,13.74,Female,Basic,0
51.0,73019.67,18094.68,2.0,11.7,Female,Premium,0
26.0,66839.52,8908.1,3.0,12.62,Male,Basic,0
70.0,61513.65,4685.03,2.0,22.12,Male,Plus,0
70.0,62527.93,15491.85,4.0,11.04,Male,Basic,0
47.0,50469.21,9318.44,3.0,22.13,Male,Plus,0
76.0,64605.99,4537.71,0.0,19.45,Other,Plus,1
55.0,58947.76,4872.43,2.0,12.31,Female,Premium,1
74.0,71833.71,11078.97,3.0,17.3,Male,Basic,0
77.0,45917.28,179.37,2.0,11.26,Female,Basic,0
53.0,74711.8,4220.25,5.0,7.03,Male,Plus,1
35.0,72864.38,1918.9,1.0,10.39,Male,Premium,1
,67168.74,16458.08,6.0,6.56,Male,Plus,0
52.0,61215.9,18263.87,2.0,15.07,Male,Premium,0
29.0,81046.8,31057.13,1.0,12.09,Female,Plus,1
64.0,36707.97,3019.76,3.0,15.41,Male,Premium,0
75.0,79209.07,9563.22,2.0,16.96,Female,Basic,1
33.0,74860.75,22300.89,5.0,0.5,Female,Premium,1
52.0,75667.53,13265.81,2.0,13.87,Female,Plus,1
21.0,77666.25,12384.02,3.0,1.19,Male,Premium,0
29.0,56927.11,28673.36,4.0,13.0,Male,Basic,1
41.0,64810.8,12292.75,9.0,6.74,Female,Plus,0
72.0,82741.17,5750.44,2.0,12.63,Female,Premium,1
78.0,78612.78,4464.48,6.0,20.19,Female,Plus,1
57.0,74134.26,17685.55,3.0,1.75,Male,Basic,1
54.0,39713.6,17441.93,2.0,13.14,Male,Basic,0
53.0,80757.74,4026.38,3.0,11.53,Female,Premium,1
21.0,93389.42,7116.83,0.0,0.65,Female,Plus,1
41.0,90193.43,19277.7,2.0,15.89,Male,Basic,0
78.0,74677.56,19618.13,2.0,12.21,Female,Basic,0
43.0,38846.43,9854.22,1.0,8.95,Male,Plus,1
31.0,88850.9,19977.73,3.0,7.67,Female,Basic,0
32.0,67054.91,19574.84,3.0,31.28,Female,Basic,0
62.0,19349.61,735.35,6.0,9.64,Female,Plus,0
20.0,77544.15,12503.49,3.0,1.2,Male,Basic,1
78.0,40156.56,18321.0,6.0,6.41,Female,Basic,1
72.0,44071.19,10415.39,5.0,9.8,Female,Premium,1
53.0,57300.82,0.0,1.0,9.69,Other,Basic,0
46.0,95451.82,12735.88,2.0,11.53,Female,Basic,1
65.0,62583.09,21016.75,0.0,5.72,Male,Premium,0
51.0,75419.83,27643.24,7.0,15.25,Other,Plus,0
47.0,104959.36,0.0,3.0,9.1,Female,Basic,1
37.0,101880.6,35906.57,3.0,3.84,Female,Premium,1
45.0,67932.93,5982.91,2.0,7.11,Female,Basic,1
64.0,65169.58,22655.77,5.0,9.69,Male,Basic,0
21.0,44782.59,24873.58,5.0,17.09,Female,Premium,0
19.0,56110.84,22864.14,2.0,14.91,Female,Plus,0
62.0,78507.17,16196.95,1.0,9.97,Male,Basic,1
41.0,77914.62,5708.66,4.0,12.12,Male,Plus,1
67.0,72204.76,20012.47,4.0,13.29,Male,Basic,0
19.0,89896.03,9278.13,8.0,24.23,Male,Basic,1
74.0,54552.64,0.0,4.0,8.29,Other,Plus,1
25.0,68878.47,37631.19,2.0,14.8,Male,Premium,1
43.0,84624.86,20664.82,3.0,16.36,Male,Basic,0
77.0,81682.92,29544.62,3.0,6.28,Female,Basic,1
24.0,91418.92,7707.02,2.0,13.14,Male,Basic,0
58.0,77940.41,26740.02,3.0,12.98,Male,Basic,0
63.0,63811.95,27718.95,2.0,9.18,Female,Plus,0
44.0,77243.85,27436.4,3.0,15.41,Male,Plus,1
22.0,49948.1,14830.35,2.0,18.17,Female,Plus,0
50.0,37210.81,5380.3,1.0,18.78,Female,Premium,0
44.0,81613.44,13581.5,4.0,10.85,Female,Plus,1
72.0,68897.19,0.0,2.0,13.14,Male,Plus,0
60.0,76168.19,1383.9,4.0,26.1,Male,Plus,1
39.0,36046.31,15735.51,4.0,5.38,Female,Plus,0
21.0,62697.72,7068.81,2.0,13.33,Female,Plus,1
54.0,58002.86,13684.43,5.0,17.34,Female,Premium,0
35.0,52715.76,14128.0,1.0,12.9,Female,Basic,0
60.0,24899.7,30445.82,1.0,15.94,Female,Plus,0
71.0,63302.53,25381.01,6.0,13.04,Male,Basic,1
40.0,87946.09,14641.02,4.0,16.52,Female,Basic,1
74.0,77619.95,24671.2,1.0,19.7,Male,Premium,1
50.0,57981.07,8762.29,3.0,10.67,Male,Basic,0
50.0,69702.48,12304.82,1.0,13.19,Female,Plus,0
65.0,85136.0,22281.79,5.0,11.67,Male,Basic,0
66.0,15000.0,5066.72,0.0,9.58,,Plus,0
74.0,67509.27,12768.15,3.0,11.88,Female,Basic,1
79.0,80864.0,4433.23,0.0,5.21,Male,Plus,0
27.0,83642.57,15939.78,3.0,16.47,Female,Premium,0
43.0,104014.6,28060.13,4.0,22.21,Male,Plus,1
75.0,92700.91,8983.22,3.0,22.23,Other,Plus,1
37.0,76251.26,16807.04,3.0,19.66,Male,Plus,0
18.0,76039.52,7821.42,3.0,6.22,Female,Basic,1
53.0,85738.91,5803.61,2.0,21.12,Female,Plus,0
64.0,59213.46,5113.2,2.0,7.71,Female,Basic,1
64.0,69196.24,26638.02,2.0,11.68,Female,Basic,0
68.0,88124.78,33899.48,3.0,23.08,Male,Plus,1
57.0,109148.9,18864.35,1.0,5.57,Female,Premium,1
26.0,66814.65,9269.66,2.0,17.05,Female,Plus,1
70.0,69031.99,20639.13,1.0,13.69,Male,Plus,0
43.0,73969.6,12325.41,4.0,11.09,Male,Basic,0
70.0,96864.07,21411.19,0.0,6.74,Female,Premium,1
68.0,69393.73,17327.95,4.0,14.54,Female,Basic,0
78.0,99387.18,17237.63,6.0,9.22,Male,Plus,0
18.0,50666.86,19858.21,4.0,18.27,Female,Plus,0
71.0,66279.27,10364.05,3.0,19.35,Male,Plus,1
56.0,66036.7,11765.06,4.0,3.72,Female,Basic,0
48.0,85730.11,1230.04,3.0,8.97,Female,Basic,1
67.0,90905.21,11465.04,3.0,10.09,Male,Basic,1
77.0,39811.11,3621.34,3.0,4.91,Male,Basic,0
49.0,51697.65,13842.55,1.0,5.29,Male,Plus,1
23.0,76737.05,7338.95,3.0,12.53,Female,Basic,0
63.0,56826.13,15809.88,5.0,10.75,Male,Basic,1
32.0,39551.44,18625.91,6.0,2.09,Male,Plus,1
32.0,90769.6,3639.02,2.0,8.77,Other,Basic,1
29.0,79879.4,8493.77,4.0,15.11,Male,Plus,1
30.0,79863.55,7453.5,4.0,4.76,Female,Basic,0
74.0,60491.09,20971.95,4.0,6.46,Female,Basic,0
40.0,90578.77,28650.9,5.0,21.53,Female,Plus,1
24.0,65200.8,21812.29,2.0,19.9,Male,Premium,1
29.0,91928.71,12204.65,4.0,2.27,Male,Basic,0
42.0,51766.7,26720.05,4.0,3.89,Male,Basic,1
39.0,52917.29,2887.14,4.0,14.26,Female,Basic,0
37.0,74093.26,26994.86,2.0,4.85,Male,Plus,0
76.0,55953.36,9750.29,2.0,10.48,Male,Premium,0
71.0,83509.02,0.0,1.0,9.29,Male,Basic,0
53.0,75201.75,36206.44,6.0,15.36,Male,Basic,0
79.0,51540.58,27624.18,2.0,0.5,Female,Basic,1
39.0,71457.31,6744.93,2.0,0.5,Male,Basic,0
26.0,62974.45,16352.07,2.0,4.64,Male,Plus,0
34.0,88316.66,13284.0,2.0,18.08,Male,Plus,1
23.0,57348.94,15817.77,4.0,11.07,Male,Plus,0
77.0,61216.54,3133.71,2.0,1.75,Male,Basic,0
31.0,94224.74,9548.05,3.0,14.96,Male,Basic,0
45.0,114771.87,18743.69,3.0,16.25,Female,Premium,1
30.0,109980.17,16781.57,0.0,10.52,Male,Basic,0
78.0,71264.46,24593.91,,10.02,Female,Basic,0
27.0,74377.09,15638.0,2.0,14.63,Male,Basic,0
49.0,100669.17,33793.77,2.0,19.26,Male,Premium,1
76.0,67511.3,9274.15,5.0,12.91,Male,Plus,1
50.0,50473.02,17074.66,2.0,15.2,Female,Plus,1
73.0,72337.51,0.0,3.0,11.71,Male,Plus,1
73.0,79030.34,4974.93,2.0,9.71,Male,Premium,1
65.0,53417.01,25628.21,4.0,6.5,Female,Plus,0
64.0,37075.38,7457.58,4.0,13.54,Male,Basic,0
53.0,41265.41,19245.4,3.0,10.2,Male,Basic,0
54.0,83308.59,14505.83,1.0,10.54,Male,Basic,1
69.0,54832.47,6643.61,3.0,17.58,Female,Basic,0
44.0,67173.06,12214.01,1.0,14.93,Male,Premium,1
76.0,74251.17,10886.13,2.0,17.22,Female,Plus,0
72.0,82382.82,11101.07,2.0,2.55,Male,Basic,1
41.0,63301.94,21028.87,5.0,15.35,Female,Plus,1
43.0,79974.31,20218.76,6.0,8.46,Female,Basic,1
62.0,52198.79,10380.59,,7.15,Female,Plus,1
75.0,62765.72,7743.18,5.0,6.89,Female,Premium,0
23.0,49511.69,17258.7,1.0,19.27,Male,Basic,1
22.0,92635.34,14199.88,5.0,16.97,Male,Plus,0
33.0,69458.34,23226.26,5.0,7.7,Other,Plus,0
44.0,55213.85,36242.35,2.0,5.17,Male,Premium,0
28.0,62952.56,21743.4,1.0,12.08,Female,Basic,0
50.0,65565.43,14722.16,1.0,9.24,Female,Plus,0
51.0,84010.4,13623.65,7.0,21.96,Other,Basic,1
76.0,38087.28,8146.45,2.0,3.23,Male,Plus,0
64.0,49255.88,7746.62,5.0,1.02,Male,Premium,0
33.0,62437.85,6972.68,2.0,10.47,Female,Plus,1
66.0,120646.12,11837.32,0.0,12.06,Female,Basic,1
67.0,89113.58,11582.85,3.0,12.8,Female,Premium,0
60.0,67770.97,20949.85,2.0,16.52,Female,Plus,1
59.0,84239.99,11808.01,5.0,24.44,Female,Plus,0
37.0,111148.72,13420.4,4.0,9.95,Female,Premium,0
62.0,65325.12,5253.81,1.0,8.73,Female,Plus,0
26.0,62671.73,28156.61,0.0,1.44,Male,Basic,0
57.0,94238.87,19055.89,3.0,13.46,Female,Basic,1
75.0,79883.51,29310.99,4.0,17.12,Male,Plus,0
78.0,83426.66,21375.09,3.0,10.44,Female,Basic,1
36.0,59835.55,26917.09,0.0,19.08,Male,Basic,0
38.0,108484.06,13012.1,4.0,12.18,Female,Basic,1
56.0,104191.82,20737.29,3.0,21.09,Female,Basic,1
42.0,81318.96,36644.05,3.0,14.0,Male,Basic,1
63.0,83685.8,5211.72,5.0,5.66,Female,Basic,1
30.0,29454.78,24410.15,2.0,8.18,Female,Plus,0
28.0,82754.2,28583.55,3.0,2.8,Male,Basic,1
21.0,66117.83,18369.02,1.0,1.58,Female,Basic,0
47.0,78678.11,21121.7,1.0,13.6,Female,Plus,0
31.0,83649.19,25237.08,2.0,17.22,Male,Plus,0
36.0,63174.16,9637.64,3.0,23.73,Female,Premium,0
74.0,36190.36,18339.29,4.0,11.67,Male,Basic,0
68.0,77357.49,7895.96,5.0,10.58,Male,Plus,1
70.0,55172.33,9470.02,3.0,5.35,Female,Basic,0
54.0,63396.12,9947.5,6.0,17.92,Male,Basic,1
24.0,57909.8,13829.85,2.0,14.34,Female,Basic,0
64.0,63168.51,16198.21,3.0,8.43,Male,Plus,0
55.0,23809.58,18704.27,6.0,16.13,Female,Plus,0
,94338.94,3392.73,2.0,15.37,Male,Premium,0
47.0,75066.92,31214.2,7.0,0.78,Female,Plus,0
28.0,92227.99,24468.23,9.0,16.46,Female,Basic,1
54.0,109596.84,20948.5,3.0,12.82,Male,Plus,1
46.0,70451.86,12067.76,0.0,9.65,Female,Basic,0
58.0,33951.27,14269.55,5.0,9.5,Female,Plus,0
41.0,52122.26,19489.33,1.0,22.49,Male,Plus,0
37.0,45861.91,18371.52,3.0,21.22,Female,Basic,0
25.0,59962.51,1231.5,4.0,22.96,Female,Plus,1
77.0,71592.96,21074.23,3.0,5.11,Male,Basic,1
64.0,29956.25,38905.98,4.0,8.07,Male,Basic,0
46.0,76849.51,0.0,2.0,17.43,Male,Basic,0
32.0,39792.87,23157.42,2.0,4.75,Female,Plus,1
56.0,75947.31,18028.02,2.0,7.68,Female,Plus,1
43.0,67810.18,14084.68,7.0,1.17,Male,Basic,0
57.0,63727.38,26256.13,6.0,23.12,Female,Plus,0
23.0,68539.14,5291.23,5.0,18.38,Male,Premium,1
29.0,59204.44,16336.76,0.0,14.75,Female,Premium,0
63.0,57750.57,27015.64,4.0,13.32,Female,Plus,0
21.0,36344.87,13383.21,5.0,9.5,Male,Basic,1
60.0,69407.45,11565.9,2.0,9.61,Female,Basic,0
43.0,106910.67,15943.82,4.0,15.69,Female,Premium,1
18.0,109609.9,11345.96,2.0,7.73,Other,Premium,1
65.0,96436.35,27713.35,5.0,19.36,Male,Premium,1
61.0,84116.03,7545.22,2.0,9.04,Male,Basic,0
68.0,56470.4,22175.45,3.0,6.76,Female,Basic,0
73.0,98855.02,4706.53,3.0,19.79,Male,Basic,1
63.0,68877.45,20500.58,2.0,11.14,Female,Plus,1
70.0,68622.49,14137.6,2.0,15.33,Male,Premium,0
25.0,64175.46,0.0,2.0,9.51,Male,Plus,1
74.0,71839.24,14950.85,2.0,0.5,Other,Basic,1
74.0,61295.7,6225.73,6.0,15.28,Male,Plus,0
61.0,68324.36,11345.75,4.0,3.92,Male,Basic,1
67.0,48308.02,27652.41,2.0,18.49,Male,Plus,0
63.0,62526.73,5811.35,2.0,2.7,Female,Basic,0
72.0,115611.13,6280.4,2.0,0.81,Female,Basic,0
73.0,68608.12,26847.06,2.0,13.85,Male,Basic,1
50.0,65226.79,15953.58,4.0,14.55,Female,Basic,1
68.0,80647.49,27677.85,2.0,12.64,Male,Basic,1
74.0,84162.44,17660.86,0.0,4.72,Female,Premium,1
36.0,47724.62,7743.48,3.0,17.33,Male,Plus,0
20.0,65856.82,14454.66,2.0,3.21,Female,Basic,0
28.0,88365.52,25113.03,0.0,9.21,Female,Premium,1
19.0,75396.75,22740.04,3.0,7.27,Male,Basic,0
44.0,72439.08,15007.29,3.0,9.73,Female,Basic,1
19.0,101080.35,15401.15,3.0,17.12,Female,Premium,1
34.0,56444.54,14074.4,2.0,8.2,Female,Premium,1
33.0,71654.92,10242.66,4.0,15.39,Male,Plus,0
61.0,59598.83,30887.04,3.0,16.16,Female,Basic,1
33.0,99806.16,15059.15,2.0,1.73,Female,Plus,1
76.0,30962.79,5696.73,1.0,5.0,Female,Basic,0
29.0,56597.17,11076.66,9.0,9.7,Female,Basic,1
78.0,59416.86,20974.56,,8.45,Male,Premium,0
53.0,83270.79,20276.48,3.0,13.85,Male,Basic,0
33.0,82125.51,13872.01,1.0,0.5,Female,Basic,1
20.0,97903.89,9501.94,2.0,16.32,Female,Basic,1
36.0,38519.34,15196.66,2.0,16.47,Female,Plus,0
54.0,85009.5,1234.5,1.0,10.99,Female,Plus,1
24.0,64134.4,4292.45,3.0,3.7,Male,Basic,0
28.0,56687.5,21571.2,6.0,12.03,Male,Basic,0
25.0,80791.37,11057.85,4.0,8.78,Male,Premium,0
60.0,51597.21,18083.87,3.0,15.4,Female,Basic,0
23.0,28461.73,25020.74,4.0,11.49,Female,Basic,0
19.0,62595.63,20343.3,3.0,16.37,Female,Plus,0
46.0,40044.58,15169.52,7.0,9.4,Female,Basic,0
37.0,57021.68,32503.85,4.0,20.66,Male,Plus,0
53.0,77431.1,20491.99,3.0,0.5,Male,Basic,1
76.0,76239.99,12084.32,2.0,5.9,Male,Basic,1
71.0,101737.99,21021.57,4.0,14.94,Male,Plus,0
51.0,66006.91,18354.77,3.0,2.93,Male,Plus,1
57.0,39333.37,7960.11,1.0,16.42,Male,Basic,0
68.0,54878.06,15600.12,2.0,4.7,Male,Basic,0
45.0,51612.32,13643.01,3.0,12.56,Female,Premium,0
58.0,45643.5,0.0,3.0,6.51,Female,Basic,0
31.0,78707.34,13581.99,4.0,9.35,Female,Basic,0
55.0,57095.35,12671.56,2.0,13.05,Other,Basic,0
32.0,30452.54,11394.89,3.0,11.37,Male,Basic,0
29.0,83938.46,1471.23,5.0,9.71,Female,Basic,1
65.0,67771.47,12082.8,7.0,24.92,Female,Premium,1
53.0,77136.75,14673.58,2.0,12.05,Female,Basic,1
41.0,72114.43,15838.36,3.0,6.18,Other,Premium,1
20.0,82633.09,5661.12,2.0,17.57,Female,Plus,1
32.0,70760.37,20201.81,4.0,16.92,Male,Basic,1
67.0,94724.05,5002.63,2.0,19.34,Male,Basic,1
47.0,78499.66,13159.67,4.0,22.72,Male,Plus,1
77.0,77841.35,25733.27,1.0,6.36,Female,Plus,1
73.0,78197.34,9305.94,1.0,18.36,Female,Basic,1
70.0,40867.25,10799.99,2.0,18.84,Female,Basic,0
18.0,66707.28,23826.82,3.0,12.0,Male,Premium,1
21.0,64813.67,11842.29,0.0,13.47,Male,Plus,1
53.0,74150.93,12557.95,3.0,0.5,Female,Plus,1
38.0,42826.12,16818.87,1.0,8.56,Female,Premium,0
70.0,102682.3,23627.35,4.0,22.73,Male,Basic,1
37.0,72087.77,0.0,3.0,1.28,Male,Basic,1
27.0,45773.65,8190.63,2.0,8.79,Male,Premium,0
24.0,35822.26,6720.69,4.0,13.73,Female,Basic,0
36.0,64374.25,6084.69,2.0,15.45,Female,Basic,0
56.0,68206.49,7977.73,5.0,21.79,Male,Premium,1
25.0,55634.16,8107.61,1.0,1.42,Female,Premium,1
67.0,71842.28,17473.73,2.0,12.26,Male,Premium,0
36.0,57176.48,7702.98,5.0,17.16,Male,Plus,1
37.0,81033.17,16004.67,3.0,4.12,Male,Basic,0
59.0,55509.16,18291.36,8.0,11.76,Female,Plus,1
71.0,69230.0,9015.57,7.0,23.31,Female,Basic,0
45.0,89576.78,16071.01,0.0,19.9,Female,Basic,0
67.0,121433.38,28420.15,2.0,15.24,Female,Basic,0
36.0,49847.14,17640.43,1.0,0.5,Male,Plus,1
26.0,60709.84,9776.16,6.0,11.22,Male,Premium,0
69.0,53203.29,14467.84,2.0,14.32,Male,Plus,0
65.0,85686.57,7496.46,2.0,10.15,Female,Basic,1
64.0,47038.01,17217.09,2.0,11.61,Male,Plus,1
72.0,60312.86,22059.59,2.0,30.5,Male,Basic,1
48.0,69407.97,8296.45,1.0,10.71,Female,Premium,0
30.0,50426.43,13288.45,2.0,6.18,Other,Basic,0
54.0,50853.5,24098.37,4.0,13.46,Female,Basic,0
53.0,60487.54,10932.11,3.0,10.11,Male,Basic,0
41.0,27991.2,16536.82,2.0,10.14,Male,Basic,0
57.0,41090.44,6630.95,4.0,11.48,Female,Basic,0
34.0,61739.32,8305.71,5.0,16.64,Other,Basic,0
55.0,72964.61,10812.29,2.0,13.43,Male,Basic,0
